x,y,token
-42.864025,-32.40726,!'
13.045686,39.311447,Nor
43.589085,-8.754175,offer
68.84493,6.3424983,month
-10.08836,19.599522,hard
-38.394806,26.861252,deal
30.185482,30.9314,praise
47.559647,-5.8867445,tabernacle
36.432663,-6.5602355,fruit
-27.37387,-1.2824812,point
31.661856,25.51238,seed
44.21094,-16.801905,wood
25.98658,25.519545,seek
-40.648117,-17.215002,lady
-46.03773,-3.928899,immediately
20.143208,-17.394976,sound
30.250973,-30.645353,wind
-14.362005,4.713618,making
30.158222,26.648584,mercy
-50.196945,-19.793211,.)
-45.550003,-8.576142,silence
50.56945,-3.6469033,top
46.61928,40.09151,41
64.46805,7.967938,Solomon
-51.540787,-4.8798466,letter
27.892738,22.004076,enemies
-2.3978043,-14.078962,beyond
53.34464,1.2206692,wilderness
34.534576,39.9235,Go
20.653872,-16.974558,cry
-24.041925,32.550705,bad
55.877083,13.953339,daughters
54.71216,-0.29819915,river
21.028826,15.94168,become
34.687756,24.533817,delivered
1.228675,10.554694,past
38.5294,-9.885762,wine
-25.26332,48.474915,read
47.511177,-8.512027,places
52.563713,4.654584,gathered
-14.644075,36.62489,ve
56.303886,1.6766572,mount
-44.044918,-25.165977,continued
38.871357,16.663708,lord
-62.02635,14.533495,Woodhouse
28.632133,-29.41942,deep
44.766552,-16.482107,stone
31.74938,32.778786,Ye
26.617794,26.781868,save
-60.319706,14.5215225,Colonel
44.880466,0.19364865,rose
-40.6498,-17.238466,gentleman
68.416046,5.026525,third
-37.77866,35.752518,seeing
23.258545,26.382551,destroy
20.333145,41.555813,Thy
16.510815,23.049612,thoughts
30.061476,26.022503,righteousness
18.39201,22.788956,ways
-24.59424,28.079884,used
27.441862,25.732683,sake
-52.728638,3.9243882,company
54.39753,30.099457,husband
2.2863824,37.035004,free
41.822056,10.116219,carried
30.405657,21.442244,anger
53.160793,6.641301,fight
-57.07215,12.198481,Mary
4.5094433,19.694809,sit
0.86919874,-18.667786,run
-23.563374,24.782116,longer
-41.612755,-2.5113847,appeared
-24.6684,-28.082994,low
-26.839941,30.665062,seem
-25.303955,-50.438595,forward
-53.9478,2.861004,party
-9.817105,19.705013,fast
-45.304047,39.26183,hardly
-25.5482,-4.47586,sense
32.623955,28.030947,hosts
7.111221,-21.648094,wild
-62.032677,14.939963,Jane
26.500069,28.536158,shew
17.359507,-8.156813,After
33.345894,17.614977,covenant
29.862507,-35.460594,green
-40.411327,30.818907,possible
16.591988,-1.0880805,fair
45.42173,9.667074,followed
32.731773,28.144955,GOD
-21.568594,31.253628,use
53.85288,12.338826,captain
42.202923,-14.008298,oil
-48.884155,8.922707,already
38.776825,8.2094,gods
27.739428,-30.390524,darkness
70.14018,13.1786,died
-23.881805,-12.868197,Whale
56.422443,3.9035664,Babylon
-33.15571,29.100584,ill
24.578533,22.36251,judge
39.28037,14.51693,born
-21.797892,35.10122,care
-3.4012086,-45.174362,close
-34.10232,20.851572,idea
-23.852629,-2.6029873,common
-29.579782,-38.090927,fish
-58.187946,-16.93649,THE
-4.533707,47.342987,comes
16.277058,22.158363,vain
-3.2462273,56.875996,CHAPTER
-44.489788,-23.377464,Susan
52.479237,6.1815767,battle
-38.166016,20.085344,means
-17.585718,31.862688,morrow
-20.556002,40.09572,yourself
23.599838,40.99504,thyself
-43.177284,-5.740589,spoke
-61.386204,14.163448,Elliot
-49.324062,21.307629,feelings
53.26145,-13.269771,number
19.8115,-16.141066,sing
14.266954,27.199697,perfect
-21.10702,34.756844,please
22.362629,27.375475,deliver
14.868136,8.3035145,sleep
-34.183277,3.5604298,became
31.242405,9.100689,cometh
41.176727,-21.028353,blue
15.406094,0.15862569,Their
-24.01307,-46.965733,window
-20.212263,-52.57213,standing
-40.616405,-17.199669,girl
28.255482,20.435898,iniquity
-21.926538,29.623991,wonder
