x,y,token
15.640593,-33.312313,wicked
41.394485,-40.680397,37
-29.288097,12.728288,course
-21.450424,-37.494408,understand
6.3591266,40.15177,garden
37.50325,0.80267775,bread
28.19025,-24.453312,spoken
-30.027933,-31.861296,person
-47.265724,-28.57867,pleasure
1.9467992,-17.55883,returned
-13.37184,-27.89546,ready
-7.6610384,-7.3632936,nature
-22.714165,-33.039722,certainly
22.568285,38.79504,dark
31.22961,-11.558098,dwell
-5.5030227,12.162042,strange
19.03726,-27.717056,sin
2.0918708,55.728203,boat
17.717745,-6.155141,women
49.8885,11.688219,altar
-42.373993,34.93851,alice
-33.90209,0.08088462,short
-36.685585,-39.96055,able
34.74982,-13.842815,nations
1.8208504,-42.409435,send
27.858133,12.686038,broken
38.49354,-17.582476,written
68.27862,3.2038636,ten
23.861547,-29.868343,christ
7.1019025,-29.915646,faith
-20.783579,38.298023,table
-25.326725,-34.045574,anything
19.926725,-7.7020373,bed
-4.2876806,-20.901087,master
30.099485,-46.991413,shalt
42.143955,17.095448,fine
12.676083,-34.656216,surely
41.38861,-40.771523,38
11.261827,-44.534973,gods
-23.844301,-39.844902,ought
36.337456,-40.260887,wherefore
44.522457,-1.3763939,laid
25.473978,-32.226532,strength
7.3726277,-20.83615,praise
46.200905,-35.08171,jacob
-18.328766,-22.564627,either
-13.092311,58.591446,ran
-11.523885,33.78859,rose
6.203624,10.442657,itself
15.835993,-35.855015,judgment
49.070023,1.0353196,congregation
35.88068,19.671255,trees
64.10983,-21.48591,priests
51.41677,3.7914407,gate
-37.848003,11.654205,business
-20.245281,-37.372307,?--
16.894323,-29.363884,yea
14.960418,-29.301943,wise
5.3871803,-33.72469,honour
-3.970641,-40.264816,meet
-9.48719,22.099209,walked
32.96931,25.929752,sweet
-16.718233,-34.9556,glad
-27.423565,-6.756702,received
25.109274,-35.728157,kingdom
-17.778921,-36.34217,suppose
42.35828,-41.239365,40
26.368036,-38.250877,works
-8.07736,44.968895,suddenly
-21.055065,-9.748566,lost
-28.965393,-37.991154,doubt
60.156746,-21.18238,ham
20.900414,54.20693,hair
-4.350077,5.8421993,beyond
46.49601,0.8741857,wall
7.761702,-1.5032064,",)"
57.66521,-27.256123,aaron
-3.0602796,61.324932,arm
27.15615,-35.016613,blessed
-15.719704,50.720547,opened
-17.857187,-30.633245,talk
-33.066277,-34.306458,;--
7.9094596,-39.551334,seek
-19.470982,-18.408869,case
8.189353,-30.220377,knowledge
-30.357327,18.870312,hard
-45.770096,5.240154,immediately
53.328156,11.038465,offering
45.811462,15.095026,wood
-11.573575,-32.399513,seeing
64.61712,-26.104431,chapter
20.706821,17.382954,wind
-32.694294,2.1571338,point
-39.23869,4.4862294,silence
-37.653362,21.085766,",--"
28.941418,26.066965,green
53.636513,11.247281,offer
8.273295,-40.923824,save
18.732119,17.145382,deep
7.5291696,-20.448423,sing
-45.005455,20.632984,.'
-28.890991,15.886273,making
67.495,-13.022244,month
-9.434846,-44.39882,sit
41.681202,-41.04384,39
-45.244442,20.463741,!'
23.961126,-37.0196,seed
-20.988327,21.799957,fish
16.677164,12.825819,sound
-12.787628,-33.599,bad
17.602343,12.310067,cry
35.826557,13.922806,fruit
54.74934,-5.3444486,mount
-30.193108,18.009659,fast
-6.5235667,21.620895,run
49.067177,1.0779003,tabernacle
-33.66762,12.524351,letter
-39.573776,-13.902693,spirits
27.748531,14.8517,cut
-6.083874,-35.13769,read
0.01438016,-10.382657,free
-3.6790106,-13.591027,past
9.181787,-38.434963,enemies
-45.71287,23.97049,gentleman
56.713085,-17.691706,chief
31.580032,43.770187,top
-30.6017,21.808996,.)
38.57457,14.142572,wine
13.70064,-39.504257,judge
-0.912969,-35.506187,thoughts
69.20266,-14.757431,third
56.57643,-3.8118346,river
23.501085,-21.631887,become
55.73959,-34.978897,daughters
12.628696,-41.653973,shew
42.448326,-41.243572,41
48.596664,-19.899635,solomon
55.147125,-14.44855,fight
51.61638,-35.513935,husband
18.417126,-20.798048,destroy
53.145164,-4.9943256,wilderness
-1.2933124,-3.4183002,fair
28.200909,-23.052217,delivered
7.2461314,19.654764,low
50.402008,-30.521551,john
-50.231956,15.513133,ve
45.964603,15.083478,stone
-15.914836,-33.454296,please
18.364874,3.794236,angel
23.94015,-34.76178,righteousness
-43.405586,30.406786,continued
-23.668041,-29.018797,used
19.84994,-25.595081,anger
-42.394165,-11.660331,longer
-52.103737,-4.936421,company
-53.853134,-8.793261,party
-29.02887,-1.9112539,already
-19.034094,53.283367,forward
10.427463,-31.278944,ways
18.287466,21.868313,wild
-17.337076,-1.5317705,sense
9.840302,-34.56547,lest
-40.955956,-2.0442173,appeared
-17.019056,-31.1398,seem
28.501696,40.736275,darkness
11.192906,-37.57091,sake
23.696854,-12.625613,carried
9.13452,-40.5009,deliver
-27.85727,-34.087376,ill
-30.340082,-3.4116254,hardly
-51.495087,26.27407,mary
-35.249855,14.408303,comes
-1.5123656,40.658504,close
2.367487,-17.383059,followed
-16.531034,-25.47828,use
28.461035,-37.099052,hosts
31.492651,-27.782621,covenant
25.286423,-38.42829,mercy
-17.721613,-5.069524,common
52.68855,15.825006,oil
25.774025,-16.347725,born
57.109184,-19.573275,died
-35.582176,-35.688175,possible
68.27624,3.2040923,six
62.64142,-13.748468,babylon
-29.085365,-25.010576,idea
13.568563,0.020885102,sleep
10.524172,-16.509651,vain
-31.954802,-44.111816,care
0.7137505,56.11651,line
-33.719707,-20.724936,general
-7.38598,60.538612,standing
29.590014,-45.36961,thyself
42.639725,-9.767817,number
-49.421177,10.543754,pretty
44.877342,-12.23714,battle
32.58739,-25.979975,concerning
-27.069216,15.136977,except
4.9118085,-35.18297,receive
-42.918762,11.735085,morrow
-10.819165,-43.876305,wait
5.473433,-30.284267,perfect
3.1750135,16.850891,silent
-47.916164,28.639992,susan
-45.350513,18.489523,fellow
-20.906908,-36.70843,yourself
-34.27584,-45.566593,means
-40.10707,2.4052467,spoke
33.904896,41.214165,hill
48.68591,-11.686735,princes
8.52195,-30.177818,wisdom
-47.295605,-26.59307,feelings
22.58592,48.168056,blue
-45.506794,9.186733,early
15.871492,-37.647167,doth
-30.143167,8.924204,sometimes
-52.797398,23.296486,girl
-2.4023511,18.468431,became
29.304306,-45.500282,wilt
-6.258031,-50.653385,play
11.820408,-21.536798,rise
-14.8497715,54.166893,window
-22.75997,-32.092884,wonder
-4.0981026,-15.899634,state
44.358284,24.087847,iron
28.925505,-2.7148383,cometh
22.93666,21.489635,cold
7.1058497,-29.351665,grace
-22.461699,-38.613018,need
14.873899,-32.567616,iniquity
7.3741865,-43.317524,follow
-2.935097,-14.277702,beginning
